SinglePossi: at (7, 6), only value: num=SquareInfo(value=4, options={4}, pos=(7, 6))
SinglePossi: at (7, 4), only value: num=SquareInfo(value=9, options={9}, pos=(7, 4))
SinglePossi: at (8, 5), only value: num=SquareInfo(value=4, options={4}, pos=(8, 5))
SinglePossi: at (7, 2), only value: num=SquareInfo(value=5, options={5}, pos=(7, 2))
OneOccurrence: in column, num=SquareInfo(value=7, options={7}, pos=(0, 2)) only at (0, 2)
OneOccurrence: in column, num=SquareInfo(value=6, options={6}, pos=(1, 3)) only at (1, 3)
OneOccurrence: in column, num=SquareInfo(value=7, options={7}, pos=(2, 5)) only at (2, 5)
OneOccurrence: in column, num=SquareInfo(value=7, options={7}, pos=(3, 1)) only at (3, 1)
OneOccurrence: in column, num=SquareInfo(value=6, options={6}, pos=(5, 0)) only at (5, 0)
OneOccurrence: in column, num=SquareInfo(value=9, options={9}, pos=(8, 0)) only at (8, 0)
OneOccurrence: in row, num=SquareInfo(value=6, options={6}, pos=(3, 7)) only at (3, 7)
OneOccurrence: in column, num=SquareInfo(value=4, options={4}, pos=(1, 8)) only at (1, 8)
OneOccurrence: in column, num=SquareInfo(value=4, options={4}, pos=(5, 4)) only at (5, 4)
OneOccurrence: in row, num=SquareInfo(value=4, options={4}, pos=(2, 3)) only at (2, 3)
OneOccurrence: in row, num=SquareInfo(value=4, options={4}, pos=(4, 7)) only at (4, 7)
OneOccurrence: in row, num=SquareInfo(value=2, options={2}, pos=(8, 7)) only at (8, 7)
OneOccurrence: in row, num=SquareInfo(value=5, options={5}, pos=(2, 8)) only at (2, 8)
OneOccurrence: in region, num=SquareInfo(value=4, options={4}, pos=(3, 0)) only at (3, 0)
OneOccurrence: in region, num=SquareInfo(value=9, options={9}, pos=(3, 6)) only at (3, 6)
OneOccurrence: in column, num=SquareInfo(value=2, options={2}, pos=(5, 8)) only at (5, 8)
SinglePossi: at (2, 4), only value: num=SquareInfo(value=1, options={1}, pos=(2, 4))
SinglePossi: at (6, 4), only value: num=SquareInfo(value=8, options={8}, pos=(6, 4))
SinglePossi: at (6, 7), only value: num=SquareInfo(value=3, options={3}, pos=(6, 7))
SinglePossi: at (8, 3), only value: num=SquareInfo(value=1, options={1}, pos=(8, 3))
SinglePossi: at (8, 8), only value: num=SquareInfo(value=8, options={8}, pos=(8, 8))
SinglePossi: at (0, 7), only value: num=SquareInfo(value=9, options={9}, pos=(0, 7))
SinglePossi: at (2, 0), only value: num=SquareInfo(value=3, options={3}, pos=(2, 0))
SinglePossi: at (2, 7), only value: num=SquareInfo(value=8, options={8}, pos=(2, 7))
SinglePossi: at (6, 1), only value: num=SquareInfo(value=1, options={1}, pos=(6, 1))
SinglePossi: at (8, 1), only value: num=SquareInfo(value=3, options={3}, pos=(8, 1))
SinglePossi: at (0, 3), only value: num=SquareInfo(value=5, options={5}, pos=(0, 3))
SinglePossi: at (0, 4), only value: num=SquareInfo(value=2, options={2}, pos=(0, 4))
SinglePossi: at (1, 5), only value: num=SquareInfo(value=9, options={9}, pos=(1, 5))
SinglePossi: at (1, 6), only value: num=SquareInfo(value=1, options={1}, pos=(1, 6))
SinglePossi: at (2, 2), only value: num=SquareInfo(value=9, options={9}, pos=(2, 2))
SinglePossi: at (3, 3), only value: num=SquareInfo(value=8, options={8}, pos=(3, 3))
SinglePossi: at (3, 4), only value: num=SquareInfo(value=5, options={5}, pos=(3, 4))
SinglePossi: at (4, 3), only value: num=SquareInfo(value=9, options={9}, pos=(4, 3))
SinglePossi: at (4, 5), only value: num=SquareInfo(value=3, options={3}, pos=(4, 5))
SinglePossi: at (4, 8), only value: num=SquareInfo(value=1, options={1}, pos=(4, 8))
SinglePossi: at (0, 0), only value: num=SquareInfo(value=1, options={1}, pos=(0, 0))
SinglePossi: at (0, 6), only value: num=SquareInfo(value=3, options={3}, pos=(0, 6))
SinglePossi: at (1, 2), only value: num=SquareInfo(value=8, options={8}, pos=(1, 2))
SinglePossi: at (3, 5), only value: num=SquareInfo(value=2, options={2}, pos=(3, 5))
SinglePossi: at (3, 8), only value: num=SquareInfo(value=3, options={3}, pos=(3, 8))
SinglePossi: at (4, 0), only value: num=SquareInfo(value=5, options={5}, pos=(4, 0))
SinglePossi: at (4, 1), only value: num=SquareInfo(value=8, options={8}, pos=(4, 1))
SinglePossi: at (5, 2), only value: num=SquareInfo(value=3, options={3}, pos=(5, 2))
SinglePossi: at (5, 6), only value: num=SquareInfo(value=8, options={8}, pos=(5, 6))
SinglePossi: at (1, 0), only value: num=SquareInfo(value=2, options={2}, pos=(1, 0))
SinglePossi: at (1, 1), only value: num=SquareInfo(value=5, options={5}, pos=(1, 1))
SinglePossi: at (3, 2), only value: num=SquareInfo(value=1, options={1}, pos=(3, 2))
