SinglePossi: at (1, 1), only value: num=SquareInfo(value=5, options={5}, pos=(1, 1))
SinglePossi: at (5, 1), only value: num=SquareInfo(value=9, options={9}, pos=(5, 1))
SinglePossi: at (7, 1), only value: num=SquareInfo(value=2, options={2}, pos=(7, 1))
SinglePossi: at (8, 6), only value: num=SquareInfo(value=5, options={5}, pos=(8, 6))
SinglePossi: at (0, 1), only value: num=SquareInfo(value=4, options={4}, pos=(0, 1))
OneOccurrence: in column, num=SquareInfo(value=8, options={8}, pos=(3, 3)) only at (3, 3)
OneOccurrence: in column, num=SquareInfo(value=3, options={3}, pos=(4, 5)) only at (4, 5)
OneOccurrence: in column, num=SquareInfo(value=3, options={3}, pos=(5, 2)) only at (5, 2)
OneOccurrence: in column, num=SquareInfo(value=2, options={2}, pos=(6, 3)) only at (6, 3)
OneOccurrence: in column, num=SquareInfo(value=4, options={4}, pos=(8, 5)) only at (8, 5)
OneOccurrence: in row, num=SquareInfo(value=4, options={4}, pos=(6, 2)) only at (6, 2)
OneOccurrence: in row, num=SquareInfo(value=5, options={5}, pos=(0, 3)) only at (0, 3)
OneOccurrence: in row, num=SquareInfo(value=5, options={5}, pos=(5, 7)) only at (5, 7)
OneOccurrence: in row, num=SquareInfo(value=5, options={5}, pos=(2, 8)) only at (2, 8)
OneOccurrence: in region, num=SquareInfo(value=7, options={7}, pos=(1, 7)) only at (1, 7)
OneOccurrence: in region, num=SquareInfo(value=6, options={6}, pos=(4, 4)) only at (4, 4)
OneOccurrence: in region, num=SquareInfo(value=1, options={1}, pos=(4, 8)) only at (4, 8)
OneOccurrence: in region, num=SquareInfo(value=1, options={1}, pos=(7, 7)) only at (7, 7)
OneOccurrence: in region, num=SquareInfo(value=7, options={7}, pos=(7, 8)) only at (7, 8)
OneOccurrence: in column, num=SquareInfo(value=9, options={9}, pos=(1, 5)) only at (1, 5)
OneOccurrence: in column, num=SquareInfo(value=5, options={5}, pos=(4, 0)) only at (4, 0)
OneOccurrence: in column, num=SquareInfo(value=1, options={1}, pos=(5, 5)) only at (5, 5)
OneOccurrence: in column, num=SquareInfo(value=5, options={5}, pos=(6, 5)) only at (6, 5)
OneOccurrence: in column, num=SquareInfo(value=5, options={5}, pos=(7, 2)) only at (7, 2)
OneOccurrence: in column, num=SquareInfo(value=6, options={6}, pos=(7, 5)) only at (7, 5)
OneOccurrence: in row, num=SquareInfo(value=1, options={1}, pos=(0, 0)) only at (0, 0)
OneOccurrence: in row, num=SquareInfo(value=8, options={8}, pos=(1, 2)) only at (1, 2)
OneOccurrence: in row, num=SquareInfo(value=1, options={1}, pos=(3, 2)) only at (3, 2)
OneOccurrence: in row, num=SquareInfo(value=6, options={6}, pos=(1, 3)) only at (1, 3)
OneOccurrence: in row, num=SquareInfo(value=1, options={1}, pos=(2, 4)) only at (2, 4)
OneOccurrence: in row, num=SquareInfo(value=5, options={5}, pos=(3, 4)) only at (3, 4)
OneOccurrence: in row, num=SquareInfo(value=8, options={8}, pos=(0, 5)) only at (0, 5)
OneOccurrence: in row, num=SquareInfo(value=7, options={7}, pos=(2, 5)) only at (2, 5)
OneOccurrence: in row, num=SquareInfo(value=1, options={1}, pos=(1, 6)) only at (1, 6)
OneOccurrence: in row, num=SquareInfo(value=9, options={9}, pos=(0, 7)) only at (0, 7)
OneOccurrence: in row, num=SquareInfo(value=6, options={6}, pos=(0, 8)) only at (0, 8)
OneOccurrence: in region, num=SquareInfo(value=2, options={2}, pos=(0, 4)) only at (0, 4)
OneOccurrence: in region, num=SquareInfo(value=3, options={3}, pos=(0, 6)) only at (0, 6)
OneOccurrence: in region, num=SquareInfo(value=2, options={2}, pos=(2, 6)) only at (2, 6)
OneOccurrence: in region, num=SquareInfo(value=8, options={8}, pos=(7, 0)) only at (7, 0)
OneOccurrence: in region, num=SquareInfo(value=7, options={7}, pos=(8, 4)) only at (8, 4)
OneOccurrence: in region, num=SquareInfo(value=6, options={6}, pos=(6, 6)) only at (6, 6)
OneOccurrence: in region, num=SquareInfo(value=3, options={3}, pos=(6, 7)) only at (6, 7)
OneOccurrence: in column, num=SquareInfo(value=7, options={7}, pos=(6, 0)) only at (6, 0)
OneOccurrence: in column, num=SquareInfo(value=9, options={9}, pos=(7, 4)) only at (7, 4)
OneOccurrence: in column, num=SquareInfo(value=9, options={9}, pos=(8, 0)) only at (8, 0)
